id,symbol,name,status,tradable,expiration_date,root_symbol,underlying_symbol,underlying_asset_id,type,style,strike_price,multiplier,size,open_interest,open_interest_date,close_price,close_price_date,ppind
e40a6412-98da-4cf6-9b3c-70a089073554,RIVN250808C00005000,RIVN Aug 08 2025 5 Call,active,True,2025-08-08,RIVN,RIVN,f1aaf4b2-9bc5-43ea-b56d-4341a680b775,call,american,5,100,100,16,2025-07-31,8.05,2025-07-31,True
fbe2368b-8d35-44db-b2b0-eb55552f4f43,RIVN250808C00006000,RIVN Aug 08 2025 6 Call,active,True,2025-08-08,RIVN,RIVN,f1aaf4b2-9bc5-43ea-b56d-4341a680b775,call,american,6,100,100,6,2025-07-31,6.8,2025-07-15,True
8ffeb1cf-e8a7-474a-8d59-9eb60af89192,RIVN250808C00006500,RIVN Aug 08 2025 6.5 Call,active,True,2025-08-08,RIVN,RIVN,f1aaf4b2-9bc5-43ea-b56d-4341a680b775,call,american,6.5,100,100,,,,,True
6d582a9c-85cd-44fb-aca7-a721fa012134,RIVN250808C00007000,RIVN Aug 08 2025 7 Call,active,True,2025-08-08,RIVN,RIVN,f1aaf4b2-9bc5-43ea-b56d-4341a680b775,call,american,7,100,100,20,2025-07-31,5.7,2025-07-14,True
85c3501c-3747-4a5a-877c-3caa091875fb,RIVN250808C00007500,RIVN Aug 08 2025 7.5 Call,active,True,2025-08-08,RIVN,RIVN,f1aaf4b2-9bc5-43ea-b56d-4341a680b775,call,american,7.5,100,100,,,,,True
fcce3207-0e08-410c-ae8b-371733470712,RIVN250808C00008000,RIVN Aug 08 2025 8 Call,active,True,2025-08-08,RIVN,RIVN,f1aaf4b2-9bc5-43ea-b56d-4341a680b775,call,american,8,100,100,,,,,True
5d2187a5-eda2-42c8-8a82-6a59480761dd,RIVN250808C00008500,RIVN Aug 08 2025 8.5 Call,active,True,2025-08-08,RIVN,RIVN,f1aaf4b2-9bc5-43ea-b56d-4341a680b775,call,american,8.5,100,100,,,,,True
d63533cf-70c3-4d51-91f6-55f05f379e92,RIVN250808C00009000,RIVN Aug 08 2025 9 Call,active,True,2025-08-08,RIVN,RIVN,f1aaf4b2-9bc5-43ea-b56d-4341a680b775,call,american,9,100,100,10,2025-07-31,3.45,2025-08-01,True
cb98a62e-1f89-4ca5-ba24-35c7b10da245,RIVN250808C00009500,RIVN Aug 08 2025 9.5 Call,active,True,2025-08-08,RIVN,RIVN,f1aaf4b2-9bc5-43ea-b56d-4341a680b775,call,american,9.5,100,100,11,2025-07-31,2.9,2025-08-01,True
bb145b42-b4b2-42f5-b0d8-dbbeab4c8c3c,RIVN250808C00010000,RIVN Aug 08 2025 10 Call,active,True,2025-08-08,RIVN,RIVN,f1aaf4b2-9bc5-43ea-b56d-4341a680b775,call,american,10,100,100,100,2025-07-31,2.45,2025-08-01,True
fd3a2a99-fad5-4008-abaf-d8b1cd2d8a60,RIVN250808C00010500,RIVN Aug 08 2025 10.5 Call,active,True,2025-08-08,RIVN,RIVN,f1aaf4b2-9bc5-43ea-b56d-4341a680b775,call,american,10.5,100,100,42,2025-07-31,1.98,2025-08-01,True
5dd181c1-0602-43ac-b4dd-8210e107683a,RIVN250808C00011000,RIVN Aug 08 2025 11 Call,active,True,2025-08-08,RIVN,RIVN,f1aaf4b2-9bc5-43ea-b56d-4341a680b775,call,american,11,100,100,215,2025-07-31,1.49,2025-08-01,True
02c03483-0394-4bb8-bd2a-1c93e071624e,RIVN250808C00011500,RIVN Aug 08 2025 11.5 Call,active,True,2025-08-08,RIVN,RIVN,f1aaf4b2-9bc5-43ea-b56d-4341a680b775,call,american,11.5,100,100,247,2025-07-31,1.16,2025-08-01,True
cf7e4bf5-22a3-4e5b-acbb-437052f63fd9,RIVN250808C00012000,RIVN Aug 08 2025 12 Call,active,True,2025-08-08,RIVN,RIVN,f1aaf4b2-9bc5-43ea-b56d-4341a680b775,call,american,12,100,100,607,2025-07-31,0.85,2025-08-01,True
